AvR,MiR,MiP,AvN,MaRP,AvBA,Sys1inv1,BB,BC,TT,RTUAvS1,Istd,class
14.19999981,13.63000011,3009,149,209,14.93000031,37,165,166,27,3050,0.674199879,NEF
14.13000011,13.51000023,2505,215,288,2.569999933,39,165,166,34,3050,2.419616699,EF
9.420000076,1.25999999,0,-214,1015,25.35000038,32,166,166,29,3050,1.963299513,EF
14.18000031,13.68999958,2992,187,203,12.39999962,35,165,166,29,3050,1.578261375,NEF
2.029999971,1.600000024,0,316,0,60.02000046,28,165,166,15,3050,1.618079662,NEF
1.649999976,1,0,300,0,60.11000061,22,166,167,10,3050,1.368476272,NEF
13.05000019,11.03999996,1225,219,289,1,37,166,166,33,3050,2.040498972,NEF
13.71000004,12.02000046,1682,-100,281,1.00999999,33,165,166,32,3050,1.963299513,NEF
14.18000031,13.43000031,2983,233,222,15.82999992,42,165,165,27,3050,1.128152132,EF
13.81999969,12.27999973,1796,708,289,1.379999995,33,165,166,29,3050,1.91168654,NEF
8.649999619,1.210000038,0,-34,1094,15.82999992,23,166,167,19,3050,1.513574958,NEF
1.960000038,1.539999962,0,307,0,60.04999924,35,165,166,19,3050,2.06705761,NEF
10.48999977,1.379999995,0,258,221,31.98999977,42,165,165,26,3050,1.035725474,NEF
13.88000011,11.43999958,1400,-484,209,4.71999979,34,165,166,33,3050,1.572490811,NEF
9.470000267,1.399999976,0,155,1030,25.20000076,33,165,166,30,3050,1.814086318,NEF
1.419999957,1.210000038,0,307,0,60.04999924,33,165,166,18,3050,2.088931799,NEF
10.35999966,8.890000343,518,235,69,1,32,165,166,31,3050,1.206045389,NEF
6.349999905,5.630000114,21,173,119,1,27,165,166,19,2501,2.053821325,NEF
14.35000038,10.88000011,981,384,4,3.390000105,30,165,166,28,2501,1.401298165,NEF
1.639999986,1.399999976,0,300,0,60.02000046,25,165,166,13,3050,1.507556677,NEF
0,0,0,633,0,91.94000244,24,166,167,14,2501,1.103712797,NEF
12.56000042,1.230000019,0,-209,287,9.579999924,32,166,166,29,3050,1.640399098,EF
12.69999981,12.15999985,1446,-74,171,1,24,166,167,23,3050,1.120064855,NEF
6.659999847,6,50,-121,46,1,21,166,166,19,3050,2.80583787,NEF
9.970000267,9.590000153,0,-84,0,19.94000053,21,166,167,12,3050,1.183215976,NEF
14.68999958,13.82999992,2417,-78,243,8.260000229,27,166,166,29,3050,1.814086199,NEF
6.53000021,5.960000038,48,188,52,1,25,165,165,22,3050,3.437758207,NEF
0.870000005,0,0,-419,110,69.65000153,34,165,166,28,3050,1.213559747,NEF
14.10999966,13.59000015,2591,150,200,1,31,165,166,30,3050,1.732050776,NEF
1.799999952,1.360000014,0,307,0,60.04999924,34,165,166,19,3050,2.190890312,NEF
13.19999981,11.39000034,1382,575,279,1,33,165,166,29,3050,1.629277587,NEF
12.18999958,10.78999996,1124,-407,178,1,31,166,166,29,3050,1.300349593,NEF
10.32999992,1.159999967,0,-46,199,7.679999828,23,166,167,20,3050,1.206045389,NEF
1.519999981,0,0,285,0,72.70999908,40,165,166,23,3050,2.944949389,NEF
9.399999619,8.279999733,400,-368,65,1,31,166,166,31,3050,0.924416304,NEF
12.53999996,10.64000034,1050,-371,193,1,37,165,166,35,3050,1.328019619,EF
0,0,0,-125,0,91.97000122,23,166,167,13,2501,1.103712797,NEF
0.100000001,0,0,88,0,60,30,165,166,18,3050,1.286291361,NEF
5.519999981,0.970000029,0,-37,989,36.36999893,22,166,167,18,3050,1.752919555,NEF
3.769999981,0,0,-38,1046,52.20999908,20,166,167,15,3050,1.834022045,NEF
10.46000004,10.10000038,809,350,79,1,22,166,167,20,3050,0.904534042,NEF
6.170000076,0,0,-74,0,37.41999817,26,166,166,25,2501,1.120064855,NEF
10.14000034,8,347,220,81,1,32,165,166,31,3050,1.221027851,NEF
13.89999962,7.699999809,33,-121,899,12.56999969,35,165,166,30,3050,0.924416244,EF
13.14999962,11.92000008,1631,-24,395,1,25,166,167,20,3050,1.949358821,NEF
13.46000004,11.90999985,1308,187,4,1,35,165,166,34,3050,1.578261375,NEF
7.28000021,6.5,109,-82,45,1,30,166,166,28,3050,3.07777977,NEF
9.350000381,1.220000029,0,221,1044,25.95000076,38,165,166,28,3050,0.82019949,NEF
1.809999943,1.74000001,0,300,0,60.02999878,21,166,167,10,3050,1.414213538,NEF
6.010000229,5.550000191,12,-324,38,1,26,165,165,23,3050,3.065941811,NEF
12,1.409999967,0,215,291,13.97000027,39,165,166,34,3050,2.315952539,EF
7.53000021,0.939999998,0,-143,1049,25.90999985,24,166,167,20,3050,1.375103235,NEF
14.17000008,13.55000019,2697,256,210,7.159999847,38,165,166,32,3050,2.385562658,EF
14.13000011,13.17000008,2227,-509,291,7.239999771,34,165,166,29,3050,2.110579252,NEF
9.239999771,8.239999771,389,447,68,1,18,166,167,17,3050,1.375103354,NEF
9.619999886,1.24000001,0,-189,1012,26.76000023,30,165,166,25,3037,1.940009475,EF
12.10000038,1.289999962,0,266,220,14.72999954,39,165,166,25,3050,1.009049892,NEF
9.979999542,9.550000191,0,-85,0,19.90999985,21,166,166,12,3050,1.221027851,NEF
7.989999771,7.059999943,194,-192,46,1,18,165,166,15,3050,2.733628988,NEF
