proj,algo,exp,iter,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f10,ga,0,1,0.392523364,1,0,1,0,0.244186047,0.5,0,0.244186047,0,0.292893219
f10,ibea,0,1,0.705882353,0.184615385,0.142857143,0.857142857,0.815384615,0.6,0.836263736,0.83600305,0.825581395,0.753562965,0.834937885
f10,nsga2,0,1,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f10,nsga3,0,1,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f10,rs,0,1,0.392523364,1,0,1,0,0.244186047,0.5,0,0.244186047,0,0.292893219
f10,spea2,0,1,0,0,1,0,1,0,0.5,0,0.755813953,0,0.292893219
f1,ga,1,1,0.242424242,1,0,1,0,0.137931034,0.5,0,0.137931034,0,0.292893219
f1,ibea,1,1,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,nsga2,1,1,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,nsga3,1,1,0.631578947,0.186666667,0,1,0.813333333,0.461538462,0.906666667,0.901849951,0.83908046,0.67936622,0.868006734
f1,rs,1,1,0.242424242,1,0,1,0,0.137931034,0.5,0,0.137931034,0,0.292893219
f1,spea2,1,1,0.611111111,0.173333333,0.083333333,0.916666667,0.826666667,0.458333333,0.871666667,0.870504324,0.83908046,0.671608667,0.864005719
f2,ga,2,1,0.396226415,1,0,1,0,0.247058824,0.5,0,0.247058824,0,0.292893219
f2,ibea,2,1,0.784313725,0.15625,0.047619048,0.952380952,0.84375,0.666666667,0.898065476,0.896421457,0.870588235,0.809039835,0.884497541
f2,nsga2,2,1,0.740740741,0.203125,0.047619048,0.952380952,0.796875,0.606060606,0.874627976,0.871165066,0.835294118,0.770977039,0.852474851
f2,nsga3,2,1,0.740740741,0.203125,0.047619048,0.952380952,0.796875,0.606060606,0.874627976,0.871165066,0.835294118,0.770977039,0.852474851
f2,rs,2,1,0.396226415,1,0,1,0,0.247058824,0.5,0,0.247058824,0,0.292893219
f2,spea2,2,1,0.75,0.21875,0,1,0.78125,0.6,0.890625,0.883883476,0.835294118,0.774596669,0.845320392
f3,ga,3,1,0.316831683,1,0,1,0,0.188235294,0.5,0,0.188235294,0,0.292893219
f3,ibea,3,1,0.714285714,0.15942029,0.0625,0.9375,0.84057971,0.576923077,0.889039855,0.88771813,0.858823529,0.753090114,0.878919286
f3,nsga2,3,1,0.697674419,0.173913043,0.0625,0.9375,0.826086957,0.555555556,0.881793478,0.880032114,0.847058824,0.738902572,0.869324837
f3,nsga3,3,1,0.65,0.15942029,0.1875,0.8125,0.84057971,0.541666667,0.826539855,0.826420604,0.835294118,0.717654041,0.82597259
f3,rs,3,1,0.316831683,1,0,1,0,0.188235294,0.5,0,0.188235294,0,0.292893219
f3,spea2,3,1,0.711111111,0.188405797,0,1,0.811594203,0.551724138,0.905797101,0.900885233,0.847058824,0.742781353,0.866776983
f4,ga,4,1,0.380952381,1,0,1,0,0.235294118,0.5,0,0.235294118,0,0.292893219
f4,ibea,4,1,0.693877551,0.184615385,0.15,0.85,0.815384615,0.586206897,0.832692308,0.832512416,0.823529412,0.744850962,0.831799465
f4,nsga2,4,1,0.716981132,0.215384615,0.05,0.95,0.784615385,0.575757576,0.867307692,0.863356598,0.823529412,0.751455464,0.84365018
f4,nsga3,4,1,0.68,0.2,0.15,0.85,0.8,0.566666667,0.825,0.824621125,0.811764706,0.731954627,0.823223305
f4,rs,4,1,0.380952381,1,0,1,0,0.235294118,0.5,0,0.235294118,0,0.292893219
f4,spea2,4,1,0.703703704,0.230769231,0.05,0.95,0.769230769,0.558823529,0.859615385,0.854850414,0.811764706,0.740179847,0.833035276
f5,ga,5,1,0.3,1,0,1,0,0.176470588,0.5,0,0.176470588,0,0.292893219
f5,ibea,5,1,0.75,0.142857143,0,1,0.857142857,0.6,0.928571429,0.9258201,0.882352941,0.774596669,0.898984746
f5,nsga2,5,1,0.731707317,0.157142857,0,1,0.842857143,0.576923077,0.921428571,0.918072515,0.870588235,0.759554525,0.88888322
f5,nsga3,5,1,0.666666667,0.157142857,0.133333333,0.866666667,0.842857143,0.541666667,0.854761905,0.854678998,0.847058824,0.723814274,0.854274821
f5,rs,5,1,0.3,1,0,1,0,0.176470588,0.5,0,0.176470588,0,0.292893219
f5,spea2,5,1,0.731707317,0.157142857,0,1,0.842857143,0.576923077,0.921428571,0.918072515,0.870588235,0.759554525,0.88888322
