model,class,recall_mean,fpr_mean,auc_mean,accuracy_mean,best_params
DecisionTree,0,0.8922077922077923,0.7424242424242424,0.6058441558441559,0.5900000000000001,"{'max_depth': None, 'max_features': 'sqrt'}"
DecisionTree,1,0.2575757575757576,0.1077922077922078,0.6058441558441559,0.5900000000000001,"{'max_depth': None, 'max_features': 'sqrt'}"
DecisionTree,micro_average,0.5900000000000001,0.41,0.6058441558441559,0.5900000000000001,"{'max_depth': None, 'max_features': 'sqrt'}"
KNN,0,0.48888888888888893,0.5272727272727272,0.5948051948051948,0.57,"{'n_neighbors': 5, 'weights': 'distance'}"
KNN,1,0.4727272727272728,0.5111111111111111,0.5948051948051948,0.57,"{'n_neighbors': 5, 'weights': 'distance'}"
KNN,micro_average,0.57,0.43,0.5948051948051948,0.57,"{'n_neighbors': 5, 'weights': 'distance'}"
LogisticRegression,0,0.3555555555555555,0.34949494949494947,0.6118326118326118,0.5,{'C': 0.1}
LogisticRegression,1,0.6505050505050505,0.6444444444444445,0.6118326118326118,0.5,{'C': 0.1}
LogisticRegression,micro_average,0.5,0.5,0.6118326118326118,0.5,{'C': 0.1}
NaiveBayes,0,0.7555555555555555,0.6262626262626263,0.6919913419913419,0.55,{'var_smoothing': 1e-09}
NaiveBayes,1,0.37373737373737376,0.24444444444444446,0.6919913419913419,0.55,{'var_smoothing': 1e-09}
NaiveBayes,micro_average,0.55,0.45,0.6919913419913419,0.55,{'var_smoothing': 1e-09}
RandomForest,0,0.831024531024531,0.6535353535353536,0.8360750360750361,0.5700000000000001,"{'n_estimators': 50, 'max_depth': None, 'max_features': 'log2'}"
RandomForest,1,0.3464646464646465,0.16897546897546895,0.8360750360750361,0.5700000000000001,"{'n_estimators': 50, 'max_depth': None, 'max_features': 'log2'}"
RandomForest,micro_average,0.5700000000000001,0.43,0.8360750360750361,0.5700000000000001,"{'n_estimators': 50, 'max_depth': None, 'max_features': 'log2'}"
SVM,0,0.5555555555555556,0.4313131313131313,0.6883838383838383,0.6399999999999999,{'C': 0.1}
SVM,1,0.5686868686868686,0.4444444444444445,0.6883838383838383,0.6399999999999999,{'C': 0.1}
SVM,micro_average,0.6399999999999999,0.36,0.6883838383838383,0.6399999999999999,{'C': 0.1}
