model,class,recall_mean,fpr_mean,auc_mean,accuracy_mean,best_params
DecisionTree,0,0.7581262607738859,0.03440379403794038,0.8618612333679727,0.8768115942028986,"{'max_depth': None, 'max_features': 'sqrt'}"
DecisionTree,1,0.9655962059620596,0.24187373922611408,0.8618612333679727,0.8768115942028986,"{'max_depth': None, 'max_features': 'sqrt'}"
DecisionTree,micro_average,0.8768115942028986,0.12318840579710146,0.8618612333679727,0.8768115942028986,"{'max_depth': None, 'max_features': 'sqrt'}"
KNN,0,0.4732142857142857,0.3902439024390244,0.5896414817531634,0.6485507246376812,"{'n_neighbors': 3, 'weights': 'distance'}"
KNN,1,0.6097560975609756,0.5267857142857143,0.5896414817531634,0.6485507246376812,"{'n_neighbors': 3, 'weights': 'distance'}"
KNN,micro_average,0.6485507246376812,0.35144927536231885,0.5896414817531634,0.6485507246376812,"{'n_neighbors': 3, 'weights': 'distance'}"
LogisticRegression,0,0.8241831713429916,0.1427632597754549,0.9328639858453722,0.8369565217391305,{'C': 10.0}
LogisticRegression,1,0.8572367402245451,0.17581682865700837,0.9328639858453722,0.8369565217391305,{'C': 10.0}
LogisticRegression,micro_average,0.8369565217391305,0.16304347826086957,0.9328639858453722,0.8369565217391305,{'C': 10.0}
NaiveBayes,0,0.6770393972736719,0.013928571428571429,0.905057307903906,0.8768115942028986,{'var_smoothing': 1e-07}
NaiveBayes,1,0.9860714285714286,0.322960602726328,0.905057307903906,0.8768115942028986,{'var_smoothing': 1e-07}
NaiveBayes,micro_average,0.8768115942028986,0.12318840579710146,0.905057307903906,0.8768115942028986,{'var_smoothing': 1e-07}
RandomForest,0,0.7947116266275445,0.020026132404181184,0.9633774307041316,0.9094202898550725,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
RandomForest,1,0.9799738675958188,0.20528837337245553,0.9633774307041316,0.9094202898550725,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
RandomForest,micro_average,0.9094202898550725,0.09057971014492754,0.9633774307041316,0.9094202898550725,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
SVM,0,0.5612239440063574,0.021666666666666667,0.9054109613464556,0.7753623188405797,{'C': 0.1}
SVM,1,0.9783333333333333,0.43877605599364267,0.9054109613464556,0.7753623188405797,{'C': 0.1}
SVM,micro_average,0.7753623188405797,0.2246376811594203,0.9054109613464556,0.7753623188405797,{'C': 0.1}
