fold,model,class,recall,fpr,auc,accuracy,best_params
1,RandomForest,0,0.853658537,0.035714286,0.993902439,0.898550725,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
1,RandomForest,1,0.964285714,0.146341463,0.993902439,0.898550725,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
1,RandomForest,micro_average,0.898550725,0.101449275,0.993902439,0.898550725,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
1,DecisionTree,0,0.707317073,0,0.853658537,0.826086957,"{'max_depth': None, 'max_features': 'sqrt'}"
1,DecisionTree,1,1,0.292682927,0.853658537,0.826086957,"{'max_depth': None, 'max_features': 'sqrt'}"
1,DecisionTree,micro_average,0.826086957,0.173913043,0.853658537,0.826086957,"{'max_depth': None, 'max_features': 'sqrt'}"
1,KNN,0,1,1,0.62456446,0.594202899,"{'n_neighbors': 3, 'weights': 'distance'}"
1,KNN,1,0,0,0.62456446,0.594202899,"{'n_neighbors': 3, 'weights': 'distance'}"
1,KNN,micro_average,0.594202899,0.405797101,0.62456446,0.594202899,"{'n_neighbors': 3, 'weights': 'distance'}"
1,NaiveBayes,0,0.926829268,0.035714286,0.993902439,0.942028986,{'var_smoothing': 1e-07}
1,NaiveBayes,1,0.964285714,0.073170732,0.993902439,0.942028986,{'var_smoothing': 1e-07}
1,NaiveBayes,micro_average,0.942028986,0.057971014,0.993902439,0.942028986,{'var_smoothing': 1e-07}
1,LogisticRegression,0,0.804878049,0.035714286,0.988675958,0.869565217,{'C': 10.0}
1,LogisticRegression,1,0.964285714,0.195121951,0.988675958,0.869565217,{'C': 10.0}
1,LogisticRegression,micro_average,0.869565217,0.130434783,0.988675958,0.869565217,{'C': 10.0}
1,SVM,0,0.048780488,0,0.898954704,0.434782609,{'C': 0.1}
1,SVM,1,1,0.951219512,0.898954704,0.434782609,{'C': 0.1}
1,SVM,micro_average,0.434782609,0.565217391,0.898954704,0.434782609,{'C': 0.1}
2,RandomForest,0,0.789473684,0.02,0.961052632,0.927536232,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
2,RandomForest,1,0.98,0.210526316,0.961052632,0.927536232,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
2,RandomForest,micro_average,0.927536232,0.072463768,0.961052632,0.927536232,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt'}"
2,DecisionTree,0,0.789473684,0.02,0.884736842,0.927536232,"{'max_depth': None, 'max_features': 'sqrt'}"
2,DecisionTree,1,0.98,0.210526316,0.884736842,0.927536232,"{'max_depth': None, 'max_features': 'sqrt'}"
2,DecisionTree,micro_average,0.927536232,0.072463768,0.884736842,0.927536232,"{'max_depth': None, 'max_features': 'sqrt'}"
2,KNN,0,0,0,0.604210526,0.724637681,"{'n_neighbors': 7, 'weights': 'distance'}"
2,KNN,1,1,1,0.604210526,0.724637681,"{'n_neighbors': 7, 'weights': 'distance'}"
2,KNN,micro_average,0.724637681,0.275362319,0.604210526,0.724637681,"{'n_neighbors': 7, 'weights': 'distance'}"
2,NaiveBayes,0,0.578947368,0.02,0.877894737,0.869565217,{'var_smoothing': 1e-08}
2,NaiveBayes,1,0.98,0.421052632,0.877894737,0.869565217,{'var_smoothing': 1e-08}
2,NaiveBayes,micro_average,0.869565217,0.130434783,0.877894737,0.869565217,{'var_smoothing': 1e-08}
2,LogisticRegression,0,0.789473684,0.06,0.892631579,0.898550725,{'C': 0.1}
2,LogisticRegression,1,0.94,0.210526316,0.892631579,0.898550725,{'C': 0.1}
2,LogisticRegression,micro_average,0.898550725,0.101449275,0.892631579,0.898550725,{'C': 0.1}
2,SVM,0,0.684210526,0.02,0.898947368,0.898550725,{'C': 0.1}
2,SVM,1,0.98,0.315789474,0.898947368,0.898550725,{'C': 0.1}
2,SVM,micro_average,0.898550725,0.101449275,0.898947368,0.898550725,{'C': 0.1}
3,RandomForest,0,0.785714286,0.024390244,0.942073171,0.898550725,"{'n_estimators': 50, 'max_depth': None, 'max_features': 'sqrt'}"
3,RandomForest,1,0.975609756,0.214285714,0.942073171,0.898550725,"{'n_estimators': 50, 'max_depth': None, 'max_features': 'sqrt'}"
3,RandomForest,micro_average,0.898550725,0.101449275,0.942073171,0.898550725,"{'n_estimators': 50, 'max_depth': None, 'max_features': 'sqrt'}"
3,DecisionTree,0,0.785714286,0.073170732,0.856271777,0.869565217,"{'max_depth': None, 'max_features': None}"
3,DecisionTree,1,0.926829268,0.214285714,0.856271777,0.869565217,"{'max_depth': None, 'max_features': None}"
3,DecisionTree,micro_average,0.869565217,0.130434783,0.856271777,0.869565217,"{'max_depth': None, 'max_features': None}"
3,KNN,0,0.892857143,0.56097561,0.629790941,0.623188406,"{'n_neighbors': 3, 'weights': 'distance'}"
3,KNN,1,0.43902439,0.107142857,0.629790941,0.623188406,"{'n_neighbors': 3, 'weights': 'distance'}"
3,KNN,micro_average,0.623188406,0.376811594,0.629790941,0.623188406,"{'n_neighbors': 3, 'weights': 'distance'}"
3,NaiveBayes,0,0.535714286,0,0.848432056,0.811594203,{'var_smoothing': 1e-09}
3,NaiveBayes,1,1,0.464285714,0.848432056,0.811594203,{'var_smoothing': 1e-09}
3,NaiveBayes,micro_average,0.811594203,0.188405797,0.848432056,0.811594203,{'var_smoothing': 1e-09}
3,LogisticRegression,0,0.785714286,0.097560976,0.909407666,0.855072464,{'C': 1.0}
3,LogisticRegression,1,0.902439024,0.214285714,0.909407666,0.855072464,{'C': 1.0}
3,LogisticRegression,micro_average,0.855072464,0.144927536,0.909407666,0.855072464,{'C': 1.0}
3,SVM,0,0.678571429,0,0.887630662,0.869565217,{'C': 0.1}
3,SVM,1,1,0.321428571,0.887630662,0.869565217,{'C': 0.1}
3,SVM,micro_average,0.869565217,0.130434783,0.887630662,0.869565217,{'C': 0.1}
4,RandomForest,0,0.75,0,0.956481481,0.913043478,"{'n_estimators': 50, 'max_depth': None, 'max_features': None}"
4,RandomForest,1,1,0.25,0.956481481,0.913043478,"{'n_estimators': 50, 'max_depth': None, 'max_features': None}"
4,RandomForest,micro_average,0.913043478,0.086956522,0.956481481,0.913043478,"{'n_estimators': 50, 'max_depth': None, 'max_features': None}"
4,DecisionTree,0,0.75,0.044444444,0.852777778,0.884057971,"{'max_depth': None, 'max_features': None}"
4,DecisionTree,1,0.955555556,0.25,0.852777778,0.884057971,"{'max_depth': None, 'max_features': None}"
4,DecisionTree,micro_average,0.884057971,0.115942029,0.852777778,0.884057971,"{'max_depth': None, 'max_features': None}"
4,KNN,0,0,0,0.5,0.652173913,"{'n_neighbors': 3, 'weights': 'uniform'}"
4,KNN,1,1,1,0.5,0.652173913,"{'n_neighbors': 3, 'weights': 'uniform'}"
4,KNN,micro_average,0.652173913,0.347826087,0.5,0.652173913,"{'n_neighbors': 3, 'weights': 'uniform'}"
4,NaiveBayes,0,0.666666667,0,0.9,0.884057971,{'var_smoothing': 1e-08}
4,NaiveBayes,1,1,0.333333333,0.9,0.884057971,{'var_smoothing': 1e-08}
4,NaiveBayes,micro_average,0.884057971,0.115942029,0.9,0.884057971,{'var_smoothing': 1e-08}
4,LogisticRegression,0,0.916666667,0.377777778,0.940740741,0.724637681,{'C': 0.1}
4,LogisticRegression,1,0.622222222,0.083333333,0.940740741,0.724637681,{'C': 0.1}
4,LogisticRegression,micro_average,0.724637681,0.275362319,0.940740741,0.724637681,{'C': 0.1}
4,SVM,0,0.833333333,0.066666667,0.936111111,0.898550725,{'C': 0.1}
4,SVM,1,0.933333333,0.166666667,0.936111111,0.898550725,{'C': 0.1}
4,SVM,micro_average,0.898550725,0.101449275,0.936111111,0.898550725,{'C': 0.1}
