proj,algo,exp,iter,tp,tn,fp,fn,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f1,ga,1,1,0.0,9.0,1.0,11.0,0.0,0.1,1.0,0.0,0.9,0.0,0.45,0.0,0.42857142857142855,0.0,0.2893664798224054
f1,ibea,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f2,ga,2,1,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,ibea,2,1,21.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f2,nsga2,2,1,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f2,nsga3,2,1,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f2,rs,2,1,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,spea2,2,1,21.0,1.0,3.0,0.0,0.9333333333333333,0.75,0.0,1.0,0.25,0.875,0.625,0.5,0.88,0.9354143466934853,0.4696699141100894
f3,ga,3,1,5.0,10.0,6.0,0.0,0.625,0.375,0.0,1.0,0.625,0.45454545454545453,0.8125,0.7905694150420949,0.7142857142857143,0.674199862463242,0.7348349570550448
f3,ibea,3,1,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,nsga2,3,1,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,nsga3,3,1,5.0,10.0,6.0,0.0,0.625,0.375,0.0,1.0,0.625,0.45454545454545453,0.8125,0.7905694150420949,0.7142857142857143,0.674199862463242,0.7348349570550448
f3,rs,3,1,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,spea2,3,1,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1,ga,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,2,2.0,10.0,0.0,9.0,0.3076923076923077,0.0,0.8181818181818182,0.18181818181818182,1.0,1.0,0.5909090909090909,0.4264014327112209,0.5714285714285714,0.7254762501100116,0.42145808812009755
f2,ga,2,2,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,ibea,2,2,14.0,2.0,2.0,7.0,0.7567567567567567,0.5,0.3333333333333333,0.6666666666666666,0.5,0.875,0.5833333333333333,0.5773502691896257,0.64,0.4409585518440984,0.5750817072006014
f2,nsga2,2,2,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,nsga3,2,2,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,rs,2,2,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,spea2,2,2,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f3,ga,3,2,5.0,12.0,4.0,0.0,0.7142857142857143,0.25,0.0,1.0,0.75,0.5555555555555556,0.875,0.8660254037844386,0.8095238095238095,0.7453559924999299,0.8232233047033631
