Time;Ava_WS;Max_WS;Min_WS;AvR;MaR;MiR;AvP;MaP;MiP;AvN;OH;PKWh;ProM;AvRP;MaRP;MiRP;Ava_P;Ava_PTR;Ava_PFM;Ava_PFE;AvBA;Sys1inv1;Sys1inv2;Sys1inv3;Sys1inv4;Sys1inv5;Sys1inv6;Sys1inv7;Sys2inv1;Sys2inv2;Sys2inv3;Sys2inv4;Sys2inv5;Sys2inv6;Sys2inv7;ST;FBT;RBT;PCBA;PCBB;PCBC;BA;BB;BC;RT1;RT2;ST1;ST2;NAT1;NAT2;NT;NCT;MCT;RCT;YICT;FICT;AT;TT;CCT;TrT;RTUAvS1;Iave;Istd;AF
02/06/2014 00:09;5.900000095;8.699999809;3.700000048;8.289999962;10.43000031;6.960000038;416;865;175;-4;1251;1150919;10;23;34;14;412;412;412;412;1.0;27;27;27;27;28;27;27;28;28;29;32;-14;0;-50;19;24;30;35;36;35;166;165;166;51;51;62;61;15;14;18;22;17;35;26;33;17;25;33;40;2501;27.90909004;1.513574958;0
02/06/2014 00:17;5.099999905;7.199999809;3.0;7.53000021;8.760000229;6.940000057;268;515;170;-116;1259;1152643;10;30;39;27;265;265;265;265;1.0;26;27;26;26;28;32;31;33;32;32;32;-14;0;-50;25;26;32;41;41;40;165;166;166;48;48;50;50;16;16;23;27;20;38;30;35;18;25;34;42;2501;29.54545403;2.910794973;0
03/06/2014 00:15;8.300000191;11.69999981;5.599999905;11.97000027;13.31999969;10.82999992;1333;1914;949;-123;1281;1160145;50;-5;-1;-9;1341;1341;1341;1341;1.0;28;29;28;28;29;29;27;29;28;26;28;-14;0;-50;21;26;32;36;36;36;166;165;166;54;54;68;67;16;16;20;24;20;32;27;32;19;26;33;41;2501;28.09090996;0.943879783;0
03/06/2014 00:22;4.599999905;6.0;3.400000095;7.130000114;8.159999847;6.630000114;205;389;127;-18;1288;1167178;30;25;27;16;208;208;208;208;1.0;27;28;26;27;28;27;28;31;32;32;32;-14;0;-50;18;24;30;34;34;33;166;165;166;48;48;56;56;11;11;17;21;17;33;25;30;13;25;34;42;2501;28.90909004;2.34326911;0
04/06/2014 00:06;7.300000191;10.19999981;3.799999952;10.96000004;12.65999985;8.399999619;1064;1626;417;-35;1296;1173004;59;3;25;-5;1056;1056;1056;1056;1.0;26;26;26;25;27;25;25;26;26;24;24;-14;0;-50;15;22;28;30;30;29;166;166;167;47;48;63;62;10;10;14;17;14;30;21;28;21;24;31;40;2501;25.45454597;0.934198737;0
05/06/2014 00:20;7.800000191;9.300000191;6.199999809;11.40999985;12.30000019;10.31000042;1154;1453;825;149;1321;1186313;5;2;5;0;1148;1148;1148;1148;1.0;28;29;27;28;29;29;26;29;27;27;26;-14;0;-50;18;24;30;33;33;32;166;165;166;50;51;69;69;14;14;17;21;19;28;25;30;14;25;32;39;2501;27.72727203;1.190874457;0
08/06/2014 00:23;10.0;11.60000038;7.900000095;13.65999985;14.22000027;11.75;2260;2808;1241;190;1396;1367151;5;1;7;-4;2269;2269;2269;2269;1.0;34;35;33;34;35;32;32;33;33;30;30;-14;0;-50;19;25;31;32;32;32;166;165;166;68;69;87;86;15;15;17;20;20;28;28;31;15;32;39;54;3050;32.81818008;1.721521497;1
09/06/2014 00:00;10.39999962;11.80000019;8.5;13.97000027;14.68000031;13.13000011;2543;3093;1812;190;1396;1367574;15;2;7;-5;2536;2536;2536;2536;1.0;34;35;33;34;35;32;32;33;33;30;30;-14;0;-50;19;25;31;32;33;32;166;166;166;69;69;87;86;15;15;17;20;20;28;28;32;15;32;40;54;3050;32.81818008;1.721521497;1
09/06/2014 00:00;8.600000381;13.5;1.899999976;1.570000052;14.0;0.0;27;2533;0;197;1396;1367579;15;1;110;-3;1682;836;1682;1682;69.77999878;31;32;31;32;32;30;30;31;31;28;33;-14;0;-50;19;24;30;33;33;33;166;165;166;63;63;67;66;15;15;17;20;20;29;28;31;15;28;39;48;3050;31.0;1.341640711;1
09/06/2014 00:23;7.5;9.100000381;6.099999905;11.13000011;12.07999992;10.14999962;1063;1379;784;188;1419;1417326;55;4;8;0;1059;1059;1059;1059;1.0;32;33;32;32;33;32;31;32;32;30;30;-14;0;-50;18;24;30;33;33;32;166;165;166;51;51;67;66;14;14;17;21;19;29;25;30;15;30;38;47;3050;31.72727203;1.009049892;1
