Time;Ava_WS;Max_WS;Min_WS;AvR;MaR;MiR;AvP;MaP;MiP;AvN;OH;PKWh;ProM;AvRP;MaRP;MiRP;Ava_P;Ava_PTR;Ava_PFM;Ava_PFE;AvBA;Sys1inv1;Sys1inv2;Sys1inv3;Sys1inv4;Sys1inv5;Sys1inv6;Sys1inv7;Sys2inv1;Sys2inv2;Sys2inv3;Sys2inv4;Sys2inv5;Sys2inv6;Sys2inv7;ST;FBT;RBT;PCBA;PCBB;PCBC;BA;BB;BC;RT1;RT2;ST1;ST2;NAT1;NAT2;NT;NCT;MCT;RCT;YICT;FICT;AT;TT;CCT;TrT;RTUAvS1;Iave;Istd;GF
01/05/2014 00:12;5.5;10.89999962;1.399999976;0.0;0.07;0.0;0;0;0;684;881;939053;6;0;0;0;674;674;0;674;91.95999908;22;24;23;23;24;23;23;24;24;23;22;-14;0;-50;15;13;13;36;28;29;166;166;166;15;15;15;15;14;14;15;18;14;25;23;26;16;14;22;28;2501;23.18181801;0.750757158;0
13/05/2014 00:11;9.399999619;12.80000019;5.400000095;0.0;0.0;0.0;0;0;0;-13;881;939053;6;0;0;0;1970;1970;0;1901;91.90000153;23;25;23;23;25;24;24;25;25;24;22;-14;0;-50;13;11;11;28;25;37;167;166;167;14;15;14;13;13;13;13;17;13;24;21;23;14;14;23;32;2501;23.90909004;1.044465899;0
14/05/2014 00:14;5.699999809;7.400000095;4.099999905;9.979999542;10.22999954;9.720000267;0;0;0;-84;881;939053;6;0;0;0;416;416;0;416;9.760000229;26;26;26;25;26;25;27;26;26;25;26;-14;0;-50;15;14;18;33;33;32;166;165;166;32;33;34;34;15;15;17;23;14;35;23;27;17;26;35;34;2501;25.81818199;0.603022695;1
14/05/2014 00:14;6.400000095;8.600000381;2.700000048;4.119999886;10.71000004;0.699999988;0;0;0;-80;881;939053;6;0;0;0;613;613;450;613;45.72000122;26;27;25;25;27;25;27;27;27;25;26;-14;0;-50;15;15;17;33;33;33;166;166;166;31;32;35;34;15;15;16;23;14;36;23;27;17;26;35;34;2501;26.09090996;0.943879783;1
14/05/2014 00:14;5.599999905;7.5;4.0;9.989999771;10.19999981;9.800000191;0;0;0;-86;881;939053;6;0;0;0;381;381;0;381;7.239999771;26;26;26;26;28;26;27;26;28;26;26;-14;0;-50;15;15;18;33;34;33;166;166;166;32;32;36;36;15;15;17;22;14;36;23;27;17;26;35;34;2501;26.45454597;0.820199549;1
14/05/2014 00:15;5.300000191;6.599999905;4.099999905;9.979999542;10.17000008;9.789999962;0;0;0;-90;881;939053;6;0;0;0;335;335;0;335;5.920000076;26;27;26;25;27;25;28;26;26;26;26;-14;0;-50;15;15;19;33;34;33;166;166;166;34;35;39;38;15;15;17;22;14;36;23;27;18;26;35;34;2501;26.18181801;0.873862863;1
14/05/2014 00:15;5.099999905;7.199999809;3.799999952;9.989999771;10.17000008;9.800000191;0;0;0;-88;881;939053;6;0;0;0;294;294;0;294;3.819999933;26;26;26;25;27;25;28;27;27;25;26;-14;0;-50;15;15;19;34;34;33;166;165;166;35;36;41;40;15;15;17;22;15;37;23;28;18;26;35;34;2501;26.18181801;0.981649816;1
14/05/2014 00:15;4.400000095;7.099999905;1.200000048;6.170000076;10.18999958;0.0;0;0;0;-74;881;939053;6;0;0;0;222;222;2;222;37.41999817;26;27;25;25;28;26;28;26;27;25;27;-14;0;-50;16;15;19;35;34;33;166;166;166;36;37;43;42;15;15;17;22;15;38;23;28;18;25;35;35;2501;26.36363602;1.120064855;1
16/05/2014 00:18;6.400000095;9.0;4.099999905;9.109999657;9.930000305;7.599999905;460;528;277;250;908;942147;36;30;39;29;582;582;459;582;1.950000048;27;28;27;27;28;27;27;33;32;32;33;-14;0;-50;24;25;30;42;42;41;165;165;166;49;49;61;61;18;17;23;26;22;38;29;37;20;25;33;39;2501;29.18181801;2.676496983;0
17/05/2014 00:07;3.0;4.099999905;2.099999905;5.96999979;6.360000134;5.449999809;50;86;13;251;921;946987;56;40;50;32;50;50;50;50;1.0;23;24;31;29;30;30;30;31;30;30;30;-14;0;-50;20;24;30;35;35;34;166;166;166;45;46;55;55;16;16;19;22;16;38;26;31;26;20;32;40;2501;28.90909004;2.736952543;0
